title,releaseDate,overview,release,genres,runtime
Your Fault,2024,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,12/26/2024 (US),"Romance, Drama",2h
Gladiator II,2024,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",11/22/2024 (US),"Action, Adventure, Drama",2h 28m
Red One,2024,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",11/15/2024 (US),"Action, Fantasy, Comedy",2h 4m
Sonic the Hedgehog 3,2024,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",12/20/2024 (US),"Action, Science Fiction, Comedy, Family",1h 50m
Venom: The Last Dance,2024,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",10/25/2024 (US),"Action, Science Fiction, Adventure, Thriller",1h 49m
Moana 2,2024,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",11/27/2024 (US),"Animation, Adventure, Family, Comedy",1h 40m
Mufasa: The Lion King,2024,"Told in flashbacks, Mufasa is an orphaned cub, lost and alone until he meets a sympathetic lion named Takaâ€”the heir to a royal bloodline. The chance meeting sets in motion a journey of misfits searching for their destiny and working together to evade a threatening and deadly foe.",12/20/2024 (US),"Adventure, Family, Animation, Music",1h 58m
Carry-On,2024,An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.,12/05/2024 (US),"Action, Thriller",1h 59m
My Fault,2023,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",06/08/2023 (US),"Romance, Drama",1h 57m
Dirty Angels,2024,"During the United States' 2021 withdrawal from Afghanistan, a group of female soldiers posing as medical relief are sent back in to rescue a group of kidnapped teenagers caught between ISIS and the Taliban.",12/13/2024 (US),"Action, Drama, Thriller",1h 44m
